Name,Solved,Comments,Status
"Billy Madison: https://www.vulnhub.com/entry/billy-madison-11,161/",No,,
"Bob 1.0.1: https://www.vulnhub.com/entry/bob-101,226/",No,,
"Brainpan 1: https://www.vulnhub.com/entry/brainpan-1,51/",No,,
"Breach 1: https://www.vulnhub.com/entry/breach-1,152/",No,,
"Breach 2.1: https://www.vulnhub.com/entry/breach-21,159/",No,,
"Breach 3.0.1: https://www.vulnhub.com/entry/breach-301,177/",No,,
"BSides Vancouver 2018: https://www.vulnhub.com/entry/bsides-vancouver-2018-workshop,231/",No,,
"DC 6: https://www.vulnhub.com/entry/dc-6,315/",No,,
"DC 9: https://www.vulnhub.com/entry/dc-9,412/",No,,
"DEFCON Toronto Galahad: https://www.vulnhub.com/entry/defcon-toronto-galahad,194/",No,,
"DerpNStink 1: https://www.vulnhub.com/entry/derpnstink-1,221/",No,,
"DevGuru 1: https://www.vulnhub.com/entry/devguru-1,620/",No,,
"Digitalworld.local (Bravery): https://www.vulnhub.com/entry/digitalworldlocal-bravery,281/",No,,
"Digitalworld.local (Development): https://www.vulnhub.com/entry/digitalworldlocal-development,280/",No,,
"Digitalworld.local (JOY): https://www.vulnhub.com/entry/digitalworldlocal-joy,298/",No,,
"Digitalworld.local (Mercy v2): https://www.vulnhub.com/entry/digitalworldlocal-mercy-v2,263/",No,,
"Djinn 1: https://www.vulnhub.com/entry/djinn-1,397/",No,,
"Election 1: https://www.vulnhub.com/entry/election-1,503/",No,,
"Escalate_Linux: 1: https://www.vulnhub.com/entry/escalate_linux-1,323/",No,,
"EVM 1: https://www.vulnhub.com/entry/evm-1,391/",No,,
"FristiLeaks 1.3: https://www.vulnhub.com/entry/fristileaks-13,133/",No,,
"Glasglow 1.1: https://www.vulnhub.com/entry/glasgow-smile-11,491/",No,,
"GoldenEye 1: https://www.vulnhub.com/entry/goldeneye-1,240/",No,,
"HackLAB: Vulnix: https://www.vulnhub.com/entry/hacklab-vulnix,48/",No,,
"Hackme 1: https://www.vulnhub.com/entry/hackme-1,330/",No,,
"Healthcare 1: https://www.vulnhub.com/entry/healthcare-1,522/",No,,
"IMF: https://www.vulnhub.com/entry/imf-1,162/",No,,
"Infosec Prep OSCP Box: https://www.vulnhub.com/entry/infosec-prep-oscp,508/",No,,
"Kioptrix: 2014: https://www.vulnhub.com/entry/kioptrix-2014-5,62/",No,,
"Kioptrix: Level 1 (#1): https://www.vulnhub.com/entry/kioptrix-level-1-1,22/",No,,
"Kioptrix: Level 1.1 (#2): https://www.vulnhub.com/entry/kioptrix-level-11-2,23/",No,,
"Kioptrix: Level 1.2 (#3): https://www.vulnhub.com/entry/kioptrix-level-12-3,24/",No,,
"Kioptrix: Level 1.3 (#4): https://www.vulnhub.com/entry/kioptrix-level-13-4,25",No,,
"LemonSqueezy: https://www.vulnhub.com/entry/lemonsqueezy-1,473/",No,,
"Lin.Security: https://www.vulnhub.com/entry/linsecurity-1,244/",No,,
"Lord of the root 1.0.1: https://www.vulnhub.com/entry/lord-of-the-root-101,129/",No,,
Metasploitable 3: https://github.com/rapid7/metasploitable3,No,,
"Misdirection 1: https://www.vulnhub.com/entry/misdirection-1,371/",No,,
"Moria: https://www.vulnhub.com/entry/moria-1,187/",No,,
"Mr-Robot 1: https://www.vulnhub.com/entry/mr-robot-1,151/",No,,
"Mrr3b0t: https://www.vulnhub.com/entry/bizarre-adventure-mrr3b0t,561/",No,,
"Node 1: https://www.vulnhub.com/entry/node-1,252/",No,,
"NullByte: https://www.vulnhub.com/entry/nullbyte-1,126/",No,,
"OZ: https://www.vulnhub.com/entry/oz-1,317/",No,,
"Photographer 1: https://www.vulnhub.com/entry/photographer-1,519/",No,,
"Pinkys Palace v1: https://www.vulnhub.com/entry/pinkys-palace-v1,225/",No,,
"Pinkys Palace v2: https://www.vulnhub.com/entry/pinkys-palace-v2,229/",No,,
"Pinkys Palace v3: https://www.vulnhub.com/entry/pinkys-palace-v3,237/",No,,
"Pinkys Palace v4: https://www.vulnhub.com/entry/pinkys-palace-v4,265/",No,,
"Prime 1: https://www.vulnhub.com/entry/prime-1,358/",No,,
"PwnLab: https://www.vulnhub.com/entry/pwnlab-init,158/",No,,
"pWnOS 2.0: https://www.vulnhub.com/entry/pwnos-20-pre-release,34/",No,,
"Readme 1: https://www.vulnhub.com/entry/readme-1,336/",No,,
"RickdiculouslyEasy 1: https://www.vulnhub.com/entry/rickdiculouslyeasy-1,207/",No,,
"Sar 1: https://www.vulnhub.com/entry/sar-1,425/",No,,
"Scream: https://www.vulnhub.com/entry/devrandom-scream,47/",No,,
"SickOs 1.2: https://www.vulnhub.com/entry/sickos-12,144/",No,,
"SkyTower 1: https://www.vulnhub.com/entry/skytower-1,96/",No,,
"SolidState: https://www.vulnhub.com/entry/solidstate-1,261/",No,,
"Spydersec: https://www.vulnhub.com/entry/spydersec-challenge,128/",No,,
"Stapler 1: https://www.vulnhub.com/entry/stapler-1,150/",No,,
"Symfonos 1: https://www.vulnhub.com/entry/symfonos-1,322/",No,,
"Symfonos 2: https://www.vulnhub.com/entry/symfonos-2,331/",No,,
"Symfonos 3: https://www.vulnhub.com/entry/symfonos-3,332/",No,,
"Symfonos 4: https://www.vulnhub.com/entry/symfonos-4,347/",No,,
"Symfonos 5.2: https://www.vulnhub.com/entry/symfonos-52,415/",No,,
"Temple of Doom: https://www.vulnhub.com/entry/temple-of-doom-1,243/",No,,
"Tiki-1: https://www.vulnhub.com/entry/tiki-1,525/",No,,
"Tommy Boy 1: https://www.vulnhub.com/entry/tommy-boy-1,157/",No,,
"Tommy Boy: https://www.vulnhub.com/entry/tommy-boy-1,157/",No,,
"Toppo 1: https://www.vulnhub.com/entry/toppo-1,245/",No,,
"Tr0ll 1: https://www.vulnhub.com/entry/tr0ll-1,100/",No,,
"Tr0ll 2: https://www.vulnhub.com/entry/tr0ll-2,107/",No,,
"Tr0ll1: https://www.vulnhub.com/entry/tr0ll-1,100/",No,,
"Tr0ll2: https://www.vulnhub.com/entry/tr0ll-2,107/",No,,
"Troll 3: https://www.vulnhub.com/entry/tr0ll-3,340/",No,,
"Vulnerable Docker 1: https://www.vulnhub.com/entry/vulnerable-docker-1,208/",No,,
"VulnOS 2: https://www.vulnhub.com/entry/vulnos-2,147/",No,,
"W34kn3ss 1: https://www.vulnhub.com/entry/w34kn3ss-1,270/",No,,
"Wallaby's Nightmare: https://www.vulnhub.com/entry/wallabys-nightmare-v102,176/",No,,
"Web Developer 1: https://www.vulnhub.com/entry/web-developer-1,288/",No,,
"Wintermute: https://www.vulnhub.com/entry/wintermute-1,239/",No,,
"Zico2: https://www.vulnhub.com/entry/zico2-1,210/",No,,
